Here are the translations for "Wave Animation". Please add the corresponding line to each `translation.json` file.

**English (`en/translation.json`)**
"waveAnimation": "Wave Animation",

**German (`de/translation.json`)**
"waveAnimation": "Wellenanimation",

**Spanish (`es/translation.json`)**
"waveAnimation": "Animación de Olas",

**French (`fr/translation.json`)**
"waveAnimation": "Animation de Vague",

**Hindi (`hi/translation.json`)**
"waveAnimation": "वेव एनिमेशन",

**Italian (`it/translation.json`)**
"waveAnimation": "Animazione Onda",

**Japanese (`ja/translation.json`)**
"waveAnimation": "波のアニメーション",

**Dutch (`nl/translation.json`)**
"waveAnimation": "Golfanimatie",

**Russian (`ru/translation.json`)**
"waveAnimation": "Волновая Анимация",

**Vietnamese (`vi/translation.json`)**
"waveAnimation": "Hoạt ảnh Sóng",

**Chinese (`zh/translation.json`)**
"waveAnimation": "波浪动画",
